label,mean_predicted_probability,fraction_positives
hybrid_minimal_c1.0_temperature_scaled,0.4588888618790981,0.5
hybrid_minimal_c1.0_temperature_scaled,0.5411111381208997,0.5
hybrid_minimal_c1.0_temperature_scaled,0.6382805132618006,0.6842105263157895
hybrid_minimal_c1.0_temperature_scaled,0.7552099340217086,0.8333333333333334
hybrid_minimal_c1.0_temperature_scaled,0.8718014602466606,1.0
hybrid_minimal_c1.0_temperature_scaled,0.9366042659241323,0.0
hybrid_minimal_c1.0_raw,0.056465950557316465,0.08333333333333333
hybrid_minimal_c1.0_raw,0.1611750586460455,0.14285714285714285
hybrid_minimal_c1.0_raw,0.24285166505667283,0.3125
hybrid_minimal_c1.0_raw,0.34580144743363067,0.42857142857142855
hybrid_minimal_c1.0_raw,0.43987053653760816,0.3888888888888889
hybrid_minimal_c1.0_raw,0.5601294634623979,0.6111111111111112
hybrid_minimal_c1.0_raw,0.6541985525663746,0.5714285714285714
hybrid_minimal_c1.0_raw,0.757148334943332,0.6875
hybrid_minimal_c1.0_raw,0.8388249413539574,0.8571428571428571
hybrid_minimal_c1.0_raw,0.9435340494426846,0.9166666666666666
hybrid_minimal_c1.0_temperature_scaled,0.059532722086000855,0.0
hybrid_minimal_c1.0_temperature_scaled,0.14951693993919846,0.1111111111111111
hybrid_minimal_c1.0_temperature_scaled,0.26536673133564753,0.2727272727272727
hybrid_minimal_c1.0_temperature_scaled,0.34442608161003263,0.3157894736842105
hybrid_minimal_c1.0_temperature_scaled,0.44740862109926355,0.4
hybrid_minimal_c1.0_temperature_scaled,0.5525913789007408,0.6
hybrid_minimal_c1.0_temperature_scaled,0.6555739183899713,0.6842105263157895
hybrid_minimal_c1.0_temperature_scaled,0.734633268664355,0.7272727272727273
hybrid_minimal_c1.0_temperature_scaled,0.8504830600608034,0.8888888888888888
hybrid_minimal_c1.0_temperature_scaled,0.9404672779139998,1.0
hybrid_minimal_c1.0_raw,0.04935095757326277,0.0
hybrid_minimal_c1.0_raw,0.14214596717074832,0.0
hybrid_minimal_c1.0_raw,0.2514134797588409,0.15384615384615385
hybrid_minimal_c1.0_raw,0.35452367703836435,0.17647058823529413
hybrid_minimal_c1.0_raw,0.4342857371802726,0.391304347826087
hybrid_minimal_c1.0_raw,0.5657142628197231,0.6086956521739131
hybrid_minimal_c1.0_raw,0.645476322961632,0.8235294117647058
hybrid_minimal_c1.0_raw,0.7485865202411557,0.8461538461538461
hybrid_minimal_c1.0_raw,0.8578540328292498,1.0
hybrid_minimal_c1.0_raw,0.9506490424267366,1.0
hybrid_minimal_c1.0_temperature_scaled,0.052081007619539224,0.0
hybrid_minimal_c1.0_temperature_scaled,0.12865384656457893,0.0
hybrid_minimal_c1.0_temperature_scaled,0.2530447074570824,0.0
hybrid_minimal_c1.0_temperature_scaled,0.3568791234538929,0.2
hybrid_minimal_c1.0_temperature_scaled,0.44404186905231235,0.37037037037037035
hybrid_minimal_c1.0_temperature_scaled,0.5559581309476842,0.6296296296296297
hybrid_minimal_c1.0_temperature_scaled,0.6431208765461044,0.8
hybrid_minimal_c1.0_temperature_scaled,0.7469552925429152,1.0
hybrid_minimal_c1.0_temperature_scaled,0.8713461534354198,1.0
hybrid_minimal_c1.0_temperature_scaled,0.9479189923804603,1.0
replace_eff_margin_c0.2_raw,0.052739651517765634,0.2222222222222222
replace_eff_margin_c0.2_raw,0.13903966704382426,0.0
replace_eff_margin_c0.2_raw,0.24742624007174147,0.2857142857142857
replace_eff_margin_c0.2_raw,0.3360380492881755,0.375
replace_eff_margin_c0.2_raw,0.4595788386053415,0.4
replace_eff_margin_c0.2_raw,0.5404211613944125,0.6
replace_eff_margin_c0.2_raw,0.6639619507115713,0.625
replace_eff_margin_c0.2_raw,0.7525737599280716,0.7142857142857143
replace_eff_margin_c0.2_raw,0.8609603329560436,1.0
replace_eff_margin_c0.2_raw,0.9472603484821845,0.7777777777777778
replace_eff_margin_c0.2_temperature_scaled,0.07013016703750544,1.0
replace_eff_margin_c0.2_temperature_scaled,0.13136657398826074,0.0
replace_eff_margin_c0.2_temperature_scaled,0.2477160930249209,0.09090909090909091
replace_eff_margin_c0.2_temperature_scaled,0.3623356222189989,0.3181818181818182
replace_eff_margin_c0.2_temperature_scaled,0.459557474728081,0.39285714285714285
replace_eff_margin_c0.2_temperature_scaled,0.5404425252717733,0.6071428571428571
replace_eff_margin_c0.2_temperature_scaled,0.6376643777808609,0.6818181818181818
replace_eff_margin_c0.2_temperature_scaled,0.7522839069749648,0.9090909090909091
replace_eff_margin_c0.2_temperature_scaled,0.868633426011671,1.0
replace_eff_margin_c0.2_temperature_scaled,0.9298698329624643,0.0
replace_eff_margin_c0.2_raw,0.041144335776277595,0.0
replace_eff_margin_c0.2_raw,0.15083697644186936,0.21428571428571427
replace_eff_margin_c0.2_raw,0.25195993772492686,0.2857142857142857
replace_eff_margin_c0.2_raw,0.3455282054811922,0.38461538461538464
replace_eff_margin_c0.2_raw,0.4491697763529905,0.4444444444444444
replace_eff_margin_c0.2_raw,0.5508302236472826,0.5555555555555556
replace_eff_margin_c0.2_raw,0.6544717945190618,0.6153846153846154
replace_eff_margin_c0.2_raw,0.7480400622752982,0.7142857142857143
replace_eff_margin_c0.2_raw,0.8491630235582663,0.7857142857142857
replace_eff_margin_c0.2_raw,0.9588556642237605,1.0
replace_eff_margin_c0.2_temperature_scaled,0.05578855002860481,0.0
replace_eff_margin_c0.2_temperature_scaled,0.15631429216218,0.125
replace_eff_margin_c0.2_temperature_scaled,0.25694303107282745,0.3076923076923077
replace_eff_margin_c0.2_temperature_scaled,0.3473842175149509,0.2631578947368421
replace_eff_margin_c0.2_temperature_scaled,0.45380856915897744,0.4166666666666667
replace_eff_margin_c0.2_temperature_scaled,0.5461914308412085,0.5833333333333334
replace_eff_margin_c0.2_temperature_scaled,0.652615782485227,0.7368421052631579
replace_eff_margin_c0.2_temperature_scaled,0.7430569689273068,0.6923076923076923
replace_eff_margin_c0.2_temperature_scaled,0.8436857078379068,0.875
replace_eff_margin_c0.2_temperature_scaled,0.9442114499714256,1.0
